issueType,knowlegebaseId
CVE-2000-0705,1496
CVE-2000-0706,1513
CVE-2000-0712,1495
CVE-2000-0729,1534
CVE-2000-0731,1535
CVE-2000-0739,1489
CVE-2000-0740,1488
CVE-2000-0741,1490
CVE-2000-0745,1521
CVE-2000-0749,1536
CVE-2000-0762,1517
CVE-2000-0779,1487
CVE-2000-0792,1520
CVE-2000-0794,8568
CVE-2000-0795,1485
CVE-2000-0796,1484
CVE-2000-0797,3815
CVE-2000-0798,8569
CVE-2000-0804,4419
CVE-2000-0805,4415
CVE-2000-0806,4413
CVE-2000-0807,4420
CVE-2000-0808,4421
CVE-2000-0809,4422
CVE-2000-0810,1600
CVE-2000-0811,4053
CVE-2000-0813,4434
CVE-2000-0852,1559
CVE-2000-0867,5824
CVE-2000-0870,1555
CVE-2000-0871,409
CVE-2000-0874,1545
CVE-2000-0876,5829
CVE-2000-0884,436
CVE-2000-0890,1754
CVE-2000-0894,4404
CVE-2000-0895,4403
CVE-2000-0896,1690
CVE-2000-0914,1592
CVE-2000-0915,433
CVE-2000-0919,472
CVE-2000-0921,1596
CVE-2000-0924,461
CVE-2000-0945,444
CVE-2000-0946,5831
CVE-2000-0952,6486
CVE-2000-0962,1574
CVE-2000-0966,7244
CVE-2000-0969,6983
CVE-2000-0970,7265
CVE-2000-0974,1608
CVE-2000-0975,435
CVE-2000-0989,6488
CVE-2000-0995,6125
CVE-2000-0996,6124
CVE-2000-1001,6487
CVE-2000-1004,6123
CVE-2000-1011,6070
CVE-2000-1014,3240
CVE-2000-1027,1623
CVE-2000-1032,1632
CVE-2000-1047,442
CVE-2000-1050,500
CVE-2000-1055,1569
CVE-2000-1071,7213
CVE-2000-1072,7212
CVE-2000-1073,7210
CVE-2000-1074,7209
CVE-2000-1075,4086
CVE-2000-1075,486
CVE-2000-1094,1692
CVE-2000-1097,1667
CVE-2000-1099,7255
CVE-2000-1119,1676
CVE-2000-1132,1646
CVE-2000-1135,7208
CVE-2000-1137,6491
CVE-2000-1167,1655
CVE-2000-1169,2114
CVE-2000-1169,6248
CVE-2000-1184,6083
CVE-2000-1187,7207
CVE-2000-1209,3570
CVE-2000-1211,6282
CVE-2000-1212,6283
CVE-2000-1240,23983
CVE-2000-1242,30768
CVE-2001-0002,7823
CVE-2001-0007,1707
CVE-2001-0009,1703
CVE-2001-0020,1757
CVE-2001-0041,801
CVE-2001-0043,1682
CVE-2001-0054,464
CVE-2001-0058,460
CVE-2001-0061,1697
CVE-2001-0062,1698
CVE-2001-0062,6082
CVE-2001-0063,1691
CVE-2001-0071,1699
CVE-2001-0072,1702
CVE-2001-0078,6437
CVE-2001-0081,4849
CVE-2001-0091,7820
CVE-2001-0092,7817
CVE-2001-0095,6024
CVE-2001-0123,3546
CVE-2001-0128,6284
CVE-2001-0144,503
CVE-2001-0144,795
CVE-2001-0150,7816
CVE-2001-0154,7806
CVE-2001-0174,6138
CVE-2001-0182,1733
CVE-2001-0183,1743
CVE-2001-0194,6064
CVE-2001-0196,1753
CVE-2001-0199,14797
CVE-2001-0219,6991
CVE-2001-0219,7029
CVE-2001-0219,7030
CVE-2001-0230,6081
CVE-2001-0241,3323
CVE-2001-0260,3321
CVE-2001-0265,1782
CVE-2001-0266,6033
CVE-2001-0267,6032
CVE-2001-0268,6141
CVE-2001-0269,6030
CVE-2001-0280,6027
CVE-2001-0284,6026
CVE-2001-0287,6025
CVE-2001-0295,874
CVE-2001-0299,6020
CVE-2001-0301,1762
CVE-2001-0316,6017
CVE-2001-0326,5706
CVE-2001-0327,5704
CVE-2001-0331,1822
CVE-2001-0336,5693
CVE-2001-0339,5694
CVE-2001-0341,577
CVE-2001-0347,5686
CVE-2001-0361,2116
CVE-2001-0368,1810
CVE-2001-0371,5682
CVE-2001-0373,5683
CVE-2001-0377,5685
CVE-2001-0378,5680
CVE-2001-0379,5681
CVE-2001-0381,11966
CVE-2001-0385,6664
CVE-2001-0386,3781
CVE-2001-0387,5679
CVE-2001-0394,5669
CVE-2001-0412,1784
CVE-2001-0414,805
CVE-2001-0427,5643
CVE-2001-0428,1786
CVE-2001-0430,5642
CVE-2001-0436,3862
CVE-2001-0439,5641
CVE-2001-0440,5601
CVE-2001-0444,1796
CVE-2001-0455,5597
CVE-2001-0457,5631
CVE-2001-0461,5591
CVE-2001-0473,5615
CVE-2001-0481,5612
CVE-2001-0485,8571
CVE-2001-0487,5611
CVE-2001-0488,2188
CVE-2001-0489,1805
CVE-2001-0494,5610
CVE-2001-0495,1799
CVE-2001-0497,5609
CVE-2001-0503,5608
CVE-2001-0507,5607
CVE-2001-0508,5606
CVE-2001-0508,5633
CVE-2001-0513,5600
CVE-2001-0517,5590
CVE-2001-0522,1845
CVE-2001-0527,480
CVE-2001-0529,1853
CVE-2001-0533,5585
CVE-2001-0537,578
CVE-2001-0545,5736
CVE-2001-0553,586
CVE-2001-0554,809
CVE-2001-0555,13887
CVE-2001-0558,1817
CVE-2001-0560,5583
CVE-2001-0573,5582
CVE-2001-0574,1815
CVE-2001-0586,5581
CVE-2001-0589,1780
CVE-2001-0590,5580
CVE-2001-0596,5579
CVE-2001-0612,6288
CVE-2001-0615,1841
CVE-2001-0621,1834
CVE-2001-0622,1848
CVE-2001-0625,1843
CVE-2001-0630,5565
CVE-2001-0635,5564
CVE-2001-0643,7858
CVE-2001-0650,1830
CVE-2001-0664,1971
CVE-2001-0665,1972
CVE-2001-0677,3085
CVE-2001-0680,1794
CVE-2001-0680,4050
CVE-2001-0719,5558
CVE-2001-0722,1982
CVE-2001-0724,5556
CVE-2001-0726,5557
CVE-2001-0727,3033
CVE-2001-0745,5543
CVE-2001-0748,5544
CVE-2001-0750,800
CVE-2001-0752,5573
CVE-2001-0757,804
CVE-2001-0765,1888
CVE-2001-0774,1895
CVE-2001-0784,1883
CVE-2001-0799,8572
CVE-2001-0804,683
CVE-2001-0806,1882
CVE-2001-0815,678
CVE-2001-0816,5536
CVE-2001-0828,1890
CVE-2001-0836,5534
CVE-2001-0846,1979
CVE-2001-0857,668
CVE-2001-0861,794
CVE-2001-0862,1985
CVE-2001-0863,1987
CVE-2001-0864,1986
CVE-2001-0865,1988
CVE-2001-0866,1984
CVE-2001-0867,1989
CVE-2001-0872,688
CVE-2001-0891,3275
CVE-2001-0895,807
CVE-2001-0900,677
CVE-2001-0921,5524
CVE-2001-0929,808
CVE-2001-0939,1998
CVE-2001-0940,1951
CVE-2001-0946,5493
CVE-2001-0954,2000
CVE-2001-0959,5483
CVE-2001-0962,5492
CVE-2001-0963,1953
CVE-2001-0969,1937
CVE-2001-0977,1905
CVE-2001-0982,1908
CVE-2001-0987,1909
CVE-2001-0993,1910
CVE-2001-1011,1911
CVE-2001-1016,1946
CVE-2001-1017,1947
CVE-2001-1022,1914
CVE-2001-1029,6073
CVE-2001-1036,5477
CVE-2001-1037,1917
CVE-2001-1038,1899
CVE-2001-1043,1886
CVE-2001-1056,1916
CVE-2001-1059,5475
CVE-2001-1071,1969
CVE-2001-1079,5473
CVE-2001-1084,1891
CVE-2001-1095,5469
CVE-2001-1096,5470
CVE-2001-1108,2080
CVE-2001-1116,5453
CVE-2001-1117,1920
CVE-2001-1117,5467
CVE-2001-1132,5455
CVE-2001-1141,853
CVE-2001-1144,584
CVE-2001-1145,5466
CVE-2001-1149,5456
CVE-2001-1155,5454
CVE-2001-1158,1884
CVE-2001-1161,1887
CVE-2001-1166,1938
CVE-2001-1172,5452
CVE-2001-1174,5451
CVE-2001-1176,1901
CVE-2001-1180,1897
CVE-2001-1183,802
CVE-2001-1185,2001
CVE-2001-1193,2003
CVE-2001-1199,698
CVE-2001-1234,1967
CVE-2001-1247,5440
CVE-2001-1252,1955
CVE-2001-1252,4193
CVE-2001-1290,12326
CVE-2001-1297,1960
CVE-2001-1303,588
CVE-2001-1351,5690
CVE-2001-1352,5691
CVE-2001-1380,642
CVE-2001-1382,5408
CVE-2001-1499,20210
CVE-2001-1583,15131
CVE-2002-0021,2041
CVE-2002-0023,3030
CVE-2002-0027,3031
CVE-2002-0036,4896
CVE-2002-0040,2058
CVE-2002-0045,5395
CVE-2002-0046,5394
CVE-2002-0049,2042
CVE-2002-0052,763
CVE-2002-0057,3032
CVE-2002-0067,5379
CVE-2002-0068,5378
CVE-2002-0071,3325
